100,釣魚！,釣魚速度 +
101,釣魚！（中級）,釣魚速度 ++
102,釣魚！（高階）,釣魚速度 +++
121,農作！,農作速度 +
122,農作！（中級）,農作速度 ++
123,農作！（高階）,農作速度 +++
130,收集海水,收集海水速度 +
131,收集海水（中級）,收集海水速度 ++
140,製作木質工具,製作 生存類 工具速度 +
141,製作木質工具（中級）,製作 生存類 工具速度 ++
142,製作木質工具,製作 生存類 工具速度 +++
150,淨水,生存經驗獲取速度 +
151,淨水（中級）,生存經驗獲取速度 ++
160,游泳,力量 +
161,游泳（中級）,力量 ++
162,游泳（高階）,力量 ++
200,烹飪 魚,烹飪 魚速度 +
201,烹飪 魚（中級）,烹飪 魚速度 ++
202,烹飪 魚（高階）,烹飪 魚速度 +++
210,烹飪 蔬菜,烹飪 蔬菜 速度 +
211,烹飪 蔬菜 （中級）,烹飪 蔬菜 速度 ++
212,烹飪 蔬菜 （高階）,烹飪 蔬菜 速度 +++
220,烹飪 湯,烹飪 湯速度 +
221,烹飪 湯（中級）,烹飪 湯速度 ++
222,烹飪 湯（高階）,烹飪 湯速度 +++
230,烹飪 風乾食物,烹飪 風乾食物速度 +
231,烹飪 風乾食物（中級）,烹飪 風乾食物速度 ++
232,烹飪 風乾食物（高階）,烹飪 風乾食物速度 +++
240,製作 烹飪 工具,製作 烹飪 工具速度 +
241,製作 烹飪 工具（中級）,製作 烹飪 工具速度 ++
242,製作 烹飪 工具（高階）,製作 烹飪 工具速度 +++
250,研究 烹飪 工具,烹飪 經驗獲取速度 +
251,研究 烹飪 工具（中級）,烹飪 經驗獲取速度 ++
300,紡織,紡織速度 +
301,紡織（中級）,紡織速度 ++
302,紡織（高階）,紡織速度 +++
310,製作 木製品,烹飪 木製品速度 +
311,製作 木製品（中級）,烹飪 木製品速度 ++
312,製作 木製品（高階）,烹飪 木製品速度 +++
320,製作 石製品,烹飪 木製品速度 +
321,製作 石製品（中級）,烹飪 木製品速度 ++
322,製作 石製品（高階）,烹飪 木製品速度 +++
330,研究 製作 工具,製作 經驗獲取速度 +
331,研究 製作 工具（中級）,製作 經驗獲取速度 ++
340,頭腦風暴,製作 經驗獲取速度 +
341,頭腦風暴（中級）,製作 經驗獲取速度 ++
342,頭腦風暴（高階）,製作 經驗獲取速度 ++
400,航海！,航海效率 +
401,航海！（中級）,航海效率 ++
402,瞭望到新島嶼,瞭望視野 +
403,瞭望到新島嶼（中級）,瞭望視野 ++
404,碰到新地點,繪圖速度 +
405,碰到新地點（中級）,繪圖速度 ++
406,征服新島嶼,登陸速度 +
407,征服新島嶼（中級）,登陸速度 ++
408,交易,登陸速度 +
409,交易（中級）,登陸速度 ++
410,祈禱,航海 經驗獲取速度 +
411,祈禱（中級）,航海 經驗獲取速度 ++
412,祈禱（高階）,航海 經驗獲取速度 ++
420,溺水自救,防禦 +
421,溺水自救（中級）,防禦 ++
422,溺水自救（高階）,防禦 +++
430,Go Sailing,Athelete up
431,Go Sailing,Athelete up
432,Go Sailing,Athelete up
440,Walk on the Solid,More Strength
441,Walk on the Solid,More Strength
442,Walk on the Solid,More Strength
500,攻擊!,攻擊 力量 +
501,攻擊!（中級）,攻擊 力量 ++
502,迅捷攻擊,攻擊速度 +
503,迅捷攻擊（中級）,攻擊速度 ++
504,耐力訓練,攻擊速度 +
505,耐力訓練（中級）,攻擊速度 ++
506,擊殺敵人,攻擊速度 +
507,擊殺敵人（中級）,攻擊速度 ++
508,擊殺生物,攻擊速度 +
509,擊殺生物（中級）,攻擊速度 ++
510,製作武器,製作 戰鬥武器速度 +
511,製作武器（中級）,製作 戰鬥武器速度 ++
512,製作武器（高階）,製作 戰鬥武器速度 +++
520,製作 防具,製作 戰鬥 防具速度 +
521,製作 防具（中級）,製作 戰鬥 防具速度 ++
522,製作 防具（高階）,製作 戰鬥 防具速度 +++
530,好好休息,防禦 +
531,好好休息（中級）,防禦 +
532,好好休息（高階）,防禦 +
540,打水漂精通,戰鬥 經驗獲取速度 +
541,打水漂精通（中級）,戰鬥 經驗獲取速度 +
542,打水漂精通（高階）,戰鬥 經驗獲取速度 ++
550,戰鬥訓練,攻擊速度 +
551,戰鬥訓練（中級）,攻擊速度 ++
552,戰鬥訓練（高階）,攻擊速度 +++
560,射箭！,戰鬥 經驗獲取速度 +
561,射箭！（中級）,戰鬥 經驗獲取速度 ++
600,Use sword!,
601,Use sword! advanced,
602,Use sword! mastered,
700,Use sword!,
701,Use sword! advanced,
702,Use sword! mastered,
800,Use spear!,
801,Use spear! advanced,
802,Use spear! mastered,
900,Use bow!,
901,Use bow! advanced,
902,Use bow! mastered,
1000,Use knife!,
1001,Use knife! advanced,
1002,Use knife! mastered,
1100,Use blunt!,
1101,Use blunt! advanced,
1102,Use blunt! mastered,
1200,Use tech!,
1201,Use tech! advanced,
1202,Use tech! mastered,
